Gene	Tissue	Expression	z-Score	p-Value
AKT1	Adrenal_Gland	77.225	1.1864879307295595	0.11771483250083092
AKT1	Bladder	71.89	0.9437170662157162	0.1726571252778324
AKT1	Brain_Frontal_Cortex_BA9	31.23	-0.9065291101915718	0.8176720679044651
AKT1	Brain_Spinal_cord_cervical_c-1	25.96	-1.1463421291208982	0.8741731911707913
AKT1	Colon_Sigmoid	74.37	1.0565702515942228	0.14535388161502705
AKT1	Colon_Transverse	49.44	-0.07787729335987705	0.5310371690911113
AKT1	Esophagus_Gastroesophageal_Junction	73.935	1.0367754388362993	0.149920262330569
AKT1	Esophagus_Mucosa	42.25	-0.405060520324176	0.657283487273844
AKT1	Esophagus_Muscularis	83.98	1.4938763449359356	0.06760397113691452
AKT1	Heart_Atrial_Appendage	32.42	-0.8523777833365626	0.8029977765687552
AKT1	Heart_Left_Ventricle	29.01	-1.007550913232009	0.8431649479429476
AKT1	Kidney_Cortex	27.57	-1.0730785692582387	0.8583820672337074
AKT1	Liver	34.24	-0.769558106970078	0.7792189682065251
AKT1	Lung	80.7	1.3446189062095237	0.08937416733976522
AKT1	Ovary	52.71	0.07092509219968611	0.47172868648654886
AKT1	Pancreas	28.605	-1.0259805664893862	0.8475496278143736
AKT1	Prostate	72.33	0.9637394055570639	0.1675882964023232
AKT1	Testis	32.86	-0.8323554439952148	0.7973958281062249
AKT2	Adrenal_Gland	32.82	-0.011928986668385651	0.5047588642791252
AKT2	Bladder	45.61	0.911194143010836	0.18109654475810255
AKT2	Brain_Frontal_Cortex_BA9	17.36	-1.127760385014028	0.8702894360557554
AKT2	Brain_Spinal_cord_cervical_c-1	17.11	-1.1458042303947793	0.8740619178076323
AKT2	Colon_Sigmoid	43.1	0.730033935388096	0.23268472084459302
AKT2	Colon_Transverse	26.425	-0.47349055150799646	0.6820683798276418
AKT2	Esophagus_Gastroesophageal_Junction	37.44	0.3215212759678928	0.3739076957949766
AKT2	Esophagus_Mucosa	32.37	-0.044407908353737674	0.5177103710426935
AKT2	Esophagus_Muscularis	35.895	0.21001031151485197	0.41682981253699813
