Gene_A	Pathway	Gene_B	Upstream	Downstream	Upregulating	Downregulating	Upregulated	Downregulated	Tissue	Gene_A_Gene_Expression	Gene_A_Gene_Expression_z-Score	Gene_A_Gene_Expression_p-Value	Gene_A_Protein_Expression	Gene_A_Protein_Expression_z-Score	Gene_A_Protein_Expression_p-Value	Gene_B_Gene_Expression	Gene_B_Gene_Expression_z-Score	Gene_B_Gene_Expression_p-Value	Gene_B_Protein_Expression	Gene_B_Protein_Expression_z-Score	Gene_B_Protein_Expression_p-Value
VAMP2	WP481	AKT1	True	False	True	False	False	False	Adrenal_Gland	107.0	-0.07417362758239483	0.52956388491375	50.2380840509	-0.03338981001863674	0.5133181322197973	77.225	1.1864879307295595	0.11771483250083092	147.819636857	1.2501529153422857	0.10562184648869744
VAMP2	WP481	AKT1	True	False	True	False	False	False	Bladder	93.72	-0.21517135272987517	0.5851831374898769	37.2428179273	-0.2207422240026116	0.5873534238421515	71.89	0.9437170662157162	0.1726571252778324	93.15322476930002	0.2523253665806037	0.4003947913150655
VAMP2	WP481	AKT1	True	False	True	False	False	False	Brain_Frontal_Cortex_BA9	439.5	3.456078150394805	0.0002740481929587313	324.4724423734	3.920239807135649	4.423044944512622e-05	31.23	-0.9065291101915718	0.8176720679044651	126.25576553089999	0.8565469689228378	0.19584765224363632
VAMP2	WP481	AKT1	True	False	True	False	False	False	Brain_Spinal_cord_cervical_c-1	154.2	0.4269628654116616	0.3347031876824511	69.06537988439999	0.23804282473063135	0.40592393967220763	25.96	-1.1463421291208982	0.8741731911707913	23.1300690912	-1.025809252438179	0.8475092480122268
VAMP2	WP481	AKT1	True	False	True	False	False	False	Colon_Sigmoid	108.8	-0.05506249013770626	0.5219556603400093	29.3805222135	-0.3340927369837361	0.630845209722033	74.37	1.0565702515942228	0.14535388161502705	78.9486924273	-0.006950359534097885	0.5027727699578619
VAMP2	WP481	AKT1	True	False	True	False	False	False	Colon_Transverse	72.065	-0.4450889534880594	0.6718722642693287	29.3805222135	-0.3340927369837361	0.630845209722033	49.44	-0.07787729335987705	0.5310371690911113	78.9486924273	-0.006950359534097885	0.5027727699578619
VAMP2	WP481	AKT1	True	False	True	False	False	False	Esophagus_Gastroesophageal_Junction	124.5	0.11162909757429988	0.45555874984097944	27.243415346	-0.3649033511535164	0.6424082236529122	73.935	1.0367754388362993	0.149920262330569	24.656494482299998	-0.9979473670829555	0.8408475592469362
VAMP2	WP481	AKT1	True	False	True	False	False	False	Esophagus_Mucosa	53.42	-0.6430484855192921	0.739903680323212	27.243415346	-0.3649033511535164	0.6424082236529122	42.25	-0.405060520324176	0.657283487273844	24.656494482299998	-0.9979473670829555	0.8408475592469362
VAMP2	WP481	AKT1	True	False	True	False	False	False	Esophagus_Muscularis	107.85	-0.06514892378906971	0.5259722862053572	27.243415346	-0.3649033511535164	0.6424082236529122	83.98	1.4938763449359356	0.06760397113691452	24.656494482299998	-0.9979473670829555	0.8408475592469362
VAMP2	WP481	AKT1	True	False	True	False	False	False	Heart_Atrial_Appendage	55.59	-0.6200089475998619	0.732374051929209	21.478342436800002	-0.44801825746318596	0.6729299898909211	32.42	-0.8523777833365626	0.8029977765687552	40.320173779399994	-0.7120377907870001	0.7617793126038603
VAMP2	WP481	AKT1	True	False	True	False	False	False	Heart_Left_Ventricle	39.65	-0.7892486869711598	0.7850166644931391	21.478342436800002	-0.44801825746318596	0.6729299898909211	29.01	-1.007550913232009	0.8431649479429476	40.320173779399994	-0.7120377907870001	0.7617793126038603
VAMP2	WP481	AKT1	True	False	True	False	False	False	Kidney_Cortex	74.14	-0.4230580589337656	0.6638735491731186	28.1414550605	-0.3519563359277562	0.6375644956128923	27.57	-1.0730785692582387	0.8583820672337074	21.4849809444	-1.0558370923919864	0.8544786756784732
VAMP2	WP481	AKT1	True	False	True	False	False	False	Liver	24.94	-0.9454291490885873	0.8277800867374894	14.1660584135	-0.5534392661960331	0.710018671254934	34.24	-0.769558106970078	0.7792189682065251	98.80243365919998	0.35544053444653895	0.36112979332151796
VAMP2	WP481	AKT1	True	False	True	False	False	False	Lung	112.7	-0.013655025674214234	0.5054473977941683	45.7436350189	-0.09818616491158849	0.5391077659102405	80.7	1.3446189062095237	0.08937416733976522	22.6012049671	-1.0354626240867901	0.849773543658632
VAMP2	WP481	AKT1	True	False	True	False	False	False	Ovary	223.8	1.1659268466062878	0.12182201175277951	53.6597852184	0.01594076679030674	0.4936408234661218	52.71	0.07092509219968611	0.47172868648654886	188.0629699187	1.984715599253842	0.023588061138256622
VAMP2	WP481	AKT1	True	False	True	False	False	False	Pancreas	34.975	-0.8388845578344484	0.799232952952309	52.927724544099995	0.005386667073659442	0.4978510411463063	28.605	-1.0259805664893862	0.8475496278143736	106.1005161443	0.48865263816180055	0.3125438199584072
VAMP2	WP481	AKT1	True	False	True	False	False	False	Prostate	126.75	0.13551801938016064	0.4461011591358345	35.464001600399996	-0.2463873727597885	0.5973088099574748	72.33	0.9637394055570639	0.1675882964023232	122.53718649409997	0.7886716417619098	0.21515197327094837
VAMP2	WP481	AKT1	True	False	True	False	False	False	Testis	98.15	-0.16813672001878038	0.5667621389281211	51.4042760996	-0.016576849559437223	0.5066129033016371	32.86	-0.8323554439952148	0.7973958281062249	165.47527139369998	1.5724217063381987	0.057926391752912476
VAMP2	WP481	AKT2	True	False	True	False	False	False	Adrenal_Gland	107.0	-0.07417362758239483	0.52956388491375	50.2380840509	-0.03338981001863674	0.5133181322197973	32.82	-0.011928986668385651	0.5047588642791252	249.9919544556	0.6890478608839283	0.2453965746741955
VAMP2	WP481	AKT2	True	False	True	False	False	False	Bladder	93.72	-0.21517135272987517	0.5851831374898769	37.2428179273	-0.2207422240026116	0.5873534238421515	45.61	0.911194143010836	0.18109654475810255	154.88087969670002	-0.11737423789093518	0.5467182509369481
VAMP2	WP481	AKT2	True	False	True	False	False	False	Brain_Frontal_Cortex_BA9	439.5	3.456078150394805	0.0002740481929587313	324.4724423734	3.920239807135649	4.423044944512622e-05	17.36	-1.127760385014028	0.8702894360557554	350.1455630481001	1.5382242942885196	0.061996891414144106
VAMP2	WP481	AKT2	True	False	True	False	False	False	Brain_Spinal_cord_cervical_c-1	154.2	0.4269628654116616	0.3347031876824511	69.06537988439999	0.23804282473063135	0.40592393967220763	17.11	-1.1458042303947793	0.8740619178076323	175.28695954129998	0.05564361284584123	0.4778128601386751
VAMP2	WP481	AKT2	True	False	True	False	False	False	Colon_Sigmoid	108.8	-0.05506249013770626	0.5219556603400093	29.3805222135	-0.3340927369837361	0.630845209722033	43.1	0.730033935388096	0.23268472084459302	150.33504833589996	-0.15591716126705812	0.5619508409952876
VAMP2	WP481	AKT2	True	False	True	False	False	False	Colon_Transverse	72.065	-0.4450889534880594	0.6718722642693287	29.3805222135	-0.3340927369837361	0.630845209722033	26.425	-0.47349055150799646	0.6820683798276418	150.33504833589996	-0.15591716126705812	0.5619508409952876
VAMP2	WP481	AKT2	True	False	True	False	False	False	Esophagus_Gastroesophageal_Junction	124.5	0.11162909757429988	0.45555874984097944	27.243415346	-0.3649033511535164	0.6424082236529122	37.44	0.3215212759678928	0.3739076957949766	32.430522086399996	-1.155599014870343	0.8760773944164699
VAMP2	WP481	AKT2	True	False	True	False	False	False	Esophagus_Mucosa	53.42	-0.6430484855192921	0.739903680323212	27.243415346	-0.3649033511535164	0.6424082236529122	32.37	-0.044407908353737674	0.5177103710426935	32.430522086399996	-1.155599014870343	0.8760773944164699
VAMP2	WP481	AKT2	True	False	True	False	False	False	Esophagus_Muscularis	107.85	-0.06514892378906971	0.5259722862053572	27.243415346	-0.3649033511535164	0.6424082236529122	35.895	0.21001031151485197	0.41682981253699813	32.430522086399996	-1.155599014870343	0.8760773944164699
VAMP2	WP481	AKT2	True	False	True	False	False	False	Heart_Atrial_Appendage	55.59	-0.6200089475998619	0.732374051929209	21.478342436800002	-0.44801825746318596	0.6729299898909211	19.76	-0.9545394693588183	0.8300946798301356	56.16304177709999	-0.9543771446864066	0.8300536144835506
VAMP2	WP481	AKT2	True	False	True	False	False	False	Heart_Left_Ventricle	39.65	-0.7892486869711598	0.7850166644931391	21.478342436800002	-0.44801825746318596	0.6729299898909211	15.47	-1.264171856092506	0.8969158249747704	56.16304177709999	-0.9543771446864066	0.8300536144835506
VAMP2	WP481	AKT2	True	False	True	False	False	False	Kidney_Cortex	74.14	-0.4230580589337656	0.6638735491731186	28.1414550605	-0.3519563359277562	0.6375644956128923	29.41	-0.25804703766182946	0.6018146973212571	65.5720813374	-0.8746003421541353	0.8091042992222754
VAMP2	WP481	AKT2	True	False	True	False	False	False	Liver	24.94	-0.9454291490885873	0.8277800867374894	14.1660584135	-0.5534392661960331	0.710018671254934	28.48	-0.3251701424782232	0.627473847660886	167.10628697160004	-0.013718185028596733	0.5054725923711556
VAMP2	WP481	AKT2	True	False	True	False	False	False	Lung	112.7	-0.013655025674214234	0.5054473977941683	45.7436350189	-0.09818616491158849	0.5391077659102405	34.4	0.10210811613796061	0.4593354294710671	206.60878711200002	0.32121325330103695	0.37402439460913817
VAMP2	WP481	AKT2	True	False	True	False	False	False	Ovary	223.8	1.1659268466062878	0.12182201175277951	53.6597852184	0.01594076679030674	0.4936408234661218	67.87	2.5178181357129064	0.00590421375931427	391.6900345014999	1.89046907700041	0.029347626251439385
VAMP2	WP481	AKT2	True	False	True	False	False	False	Pancreas	34.975	-0.8388845578344484	0.799232952952309	52.927724544099995	0.005386667073659442	0.4978510411463063	16.165	-1.214009965934018	0.8876280407290325	177.1370857194	0.07133035215904754	0.4715674196085894
VAMP2	WP481	AKT2	True	False	True	False	False	False	Prostate	126.75	0.13551801938016064	0.4461011591358345	35.464001600399996	-0.2463873727597885	0.5973088099574748	50.41	1.257635974321255	0.10426171847184762	190.1327992577	0.18151763174976748	0.42798064744603637
VAMP2	WP481	AKT2	True	False	True	False	False	False	Testis	98.15	-0.16813672001878038	0.5667621389281211	51.4042760996	-0.016576849559437223	0.5066129033016371	43.64	0.7690086414105181	0.22094409030497908	398.1961026989	1.9456323393630701	0.025849459728764068
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Adrenal_Gland	107.0	-0.07417362758239483	0.52956388491375	50.2380840509	-0.03338981001863674	0.5133181322197973	40.215	0.011744930673414554	0.4953145582951961	44.565514091199994	0.00458980119047964	0.4981689406754163
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Bladder	93.72	-0.21517135272987517	0.5851831374898769	37.2428179273	-0.2207422240026116	0.5873534238421515	45.34	0.3033922670455233	0.3807954690709253	59.335429038	0.39697634627506573	0.34569245172509633
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Brain_Frontal_Cortex_BA9	439.5	3.456078150394805	0.0002740481929587313	324.4724423734	3.920239807135649	4.423044944512622e-05	87.96	2.728759969714649	0.0031786479378311805	122.15749178749999	2.0659454802309836	0.019416813901640628
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Brain_Spinal_cord_cervical_c-1	154.2	0.4269628654116616	0.3347031876824511	69.06537988439999	0.23804282473063135	0.40592393967220763	37.54	-0.1404807522134912	0.5558599204062047	57.0308113529	0.3357504709430519	0.36852952125819693
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Colon_Sigmoid	108.8	-0.05506249013770626	0.5219556603400093	29.3805222135	-0.3340927369837361	0.630845209722033	45.12	0.2908727716305251	0.38557431322347413	31.875024148	-0.33255347432457577	0.6302643158820622
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Colon_Transverse	72.065	-0.4450889534880594	0.6718722642693287	29.3805222135	-0.3340927369837361	0.630845209722033	34.54	-0.311201144236189	0.6221761433887955	31.875024148	-0.33255347432457577	0.6302643158820622
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Esophagus_Gastroesophageal_Junction	124.5	0.11162909757429988	0.45555874984097944	27.243415346	-0.3649033511535164	0.6424082236529122	47.23	0.4109461140198225	0.34055602384750194	6.3349549698	-1.0110664882554012	0.8440076958173426
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Esophagus_Mucosa	53.42	-0.6430484855192921	0.739903680323212	27.243415346	-0.3649033511535164	0.6424082236529122	37.66	-0.13365193653258345	0.5531610934232173	6.3349549698	-1.0110664882554012	0.8440076958173426
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Esophagus_Muscularis	107.85	-0.06514892378906971	0.5259722862053572	27.243415346	-0.3649033511535164	0.6424082236529122	48.495	0.4829332126560601	0.3145715792913373	6.3349549698	-1.0110664882554012	0.8440076958173426
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Heart_Atrial_Appendage	55.59	-0.6200089475998619	0.732374051929209	21.478342436800002	-0.44801825746318596	0.6729299898909211	21.27	-1.0663543449499222	0.8568682541880395	15.978039752699999	-0.7548824319795957	0.7748402361506993
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Heart_Left_Ventricle	39.65	-0.7892486869711598	0.7850166644931391	21.478342436800002	-0.44801825746318596	0.6729299898909211	19.39	-1.1733391239508129	0.8796700805652689	15.978039752699999	-0.7548824319795957	0.7748402361506993
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Kidney_Cortex	74.14	-0.4230580589337656	0.6638735491731186	28.1414550605	-0.3519563359277562	0.6375644956128923	29.7	-0.5866300433661414	0.7212738996668405	11.0963476482	-0.8845724339837348	0.8118063601714383
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Liver	24.94	-0.9454291490885873	0.8277800867374894	14.1660584135	-0.5534392661960331	0.710018671254934	13.84	-1.4891718491928037	0.9317789391584855	32.9722813753	-0.30340307135745376	0.6192086473402146
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Lung	112.7	-0.013655025674214234	0.5054473977941683	45.7436350189	-0.09818616491158849	0.5391077659102405	43.4	0.19299308020417844	0.4234821937064793	28.2499586779	-0.42885916874742336	0.665987141860712
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Ovary	223.8	1.1659268466062878	0.12182201175277951	53.6597852184	0.01594076679030674	0.4936408234661218	49.59	0.5452461557443451	0.2927921154747667	104.4552734722	1.5956575801250616	0.055282632169685986
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Pancreas	34.975	-0.8388845578344484	0.799232952952309	52.927724544099995	0.005386667073659442	0.4978510411463063	14.305	-1.4627101884292855	0.928226651446127	61.230193106200005	0.4473138011046546	0.32732425181078406
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Prostate	126.75	0.13551801938016064	0.4461011591358345	35.464001600399996	-0.2463873727597885	0.5973088099574748	45.3	0.301115995151887	0.3816630221880233	41.5163387849	-0.07641644482419414	0.530456106609017
VAMP2	WP481	GSK3A	True	False	True	False	False	False	Testis	98.15	-0.16813672001878038	0.5667621389281211	51.4042760996	-0.016576849559437223	0.5066129033016371	59.26	1.0955348860308407	0.13664118527138314	121.74883729579999	2.055088916418055	0.019935208632126944
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Adrenal_Gland	107.0	-0.07417362758239483	0.52956388491375	50.2380840509	-0.03338981001863674	0.5133181322197973	16.615	0.5346487230746179	0.29644639262598327	44.565514091199994	0.08933152818748083	0.4644092191775787
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Bladder	93.72	-0.21517135272987517	0.5851831374898769	37.2428179273	-0.2207422240026116	0.5873534238421515	16.34	0.4860523261664972	0.31346503338784903	0.0	-1.058232789023143	0.8550253369693956
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Brain_Frontal_Cortex_BA9	439.5	3.456078150394805	0.0002740481929587313	324.4724423734	3.920239807135649	4.423044944512622e-05	25.49	2.1029869869276125	0.01773345351776634	122.15749178749999	2.0873290094654733	0.01842920211404131
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Brain_Spinal_cord_cervical_c-1	154.2	0.4269628654116616	0.3347031876824511	69.06537988439999	0.23804282473063135	0.40592393967220763	11.18	-0.425792794000427	0.6648705808906199	57.0308113529	0.41031358421575126	0.34078796422776014
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Colon_Sigmoid	108.8	-0.05506249013770626	0.5219556603400093	29.3805222135	-0.3340927369837361	0.630845209722033	14.92	0.23511820395001806	0.4070584949916124	31.875024148	-0.23744925115984555	0.5938458574423023
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Colon_Transverse	72.065	-0.4450889534880594	0.6718722642693287	29.3805222135	-0.3340927369837361	0.630845209722033	13.015	-0.10152229099532882	0.5404320683403039	31.875024148	-0.23744925115984555	0.5938458574423023
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Esophagus_Gastroesophageal_Junction	124.5	0.11162909757429988	0.45555874984097944	27.243415346	-0.3649033511535164	0.6424082236529122	12.74	-0.15011868790344984	0.559664511878103	6.3349549698	-0.8951073674336704	0.8146351520141744
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Esophagus_Mucosa	53.42	-0.6430484855192921	0.739903680323212	27.243415346	-0.3649033511535164	0.6424082236529122	15.97	0.42066808305375275	0.3369987352976449	6.3349549698	-0.8951073674336704	0.8146351520141744
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Esophagus_Muscularis	107.85	-0.06514892378906971	0.5259722862053572	27.243415346	-0.3649033511535164	0.6424082236529122	12.685	-0.159837967285074	0.563495642504488	6.3349549698	-0.8951073674336704	0.8146351520141744
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Heart_Atrial_Appendage	55.59	-0.6200089475998619	0.732374051929209	21.478342436800002	-0.44801825746318596	0.6729299898909211	8.607999999999999	-0.8803016407192894	0.8106520379824326	15.978039752699999	-0.6467974302466578	0.7411184721283319
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Heart_Left_Ventricle	39.65	-0.7892486869711598	0.7850166644931391	21.478342436800002	-0.44801825746318596	0.6729299898909211	7.492999999999999	-1.0773379409103978	0.859335340988066	15.978039752699999	-0.6467974302466578	0.7411184721283319
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Kidney_Cortex	74.14	-0.4230580589337656	0.6638735491731186	28.1414550605	-0.3519563359277562	0.6375644956128923	6.678999999999999	-1.221183275758436	0.8889916825156832	11.0963476482	-0.7725012570951229	0.7800911986795983
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Liver	24.94	-0.9454291490885873	0.8277800867374894	14.1660584135	-0.5534392661960331	0.710018671254934	7.0329999999999995	-1.1586264593748912	0.8766957605912539	32.9722813753	-0.20919482020513602	0.5828519220750276
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Lung	112.7	-0.013655025674214234	0.5054473977941683	45.7436350189	-0.09818616491158849	0.5391077659102405	19.33	1.0144276961857028	0.15518935708260084	28.2499586779	-0.3307948764908133	0.6296002844020954
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Ovary	223.8	1.1659268466062878	0.12182201175277951	53.6597852184	0.01594076679030674	0.4936408234661218	14.74	0.20330965324652076	0.41944650544687223	104.4552734722	1.6314959625822116	0.05139285553900663
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Pancreas	34.975	-0.8388845578344484	0.799232952952309	52.927724544099995	0.005386667073659442	0.4978510411463063	4.958	-1.5253083633179854	0.9364088986267696	61.230193106200005	0.5184478838576363	0.3020729065235864
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Prostate	126.75	0.13551801938016064	0.4461011591358345	35.464001600399996	-0.2463873727597885	0.5973088099574748	12.795	-0.1403994085218257	0.5558277874221411	41.5163387849	0.010815104675144595	0.4956854815872934
VAMP2	WP481	GSK3B	True	False	True	False	False	False	Testis	98.15	-0.16813672001878038	0.5667621389281211	51.4042760996	-0.016576849559437223	0.5066129033016371	24.02	1.8432171561823842	0.03264865549263252	121.74883729579999	2.076806134944536	0.018909727883963168
